symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
SPEL,2026-03-04,0.0,-0.0038768683374129,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
SPEL,2026-03-05,0.002677702044790564,-0.0042724581729466,False,665.4999999999966,SHORT,BUY,-332.7499999999983,332.7499999999983,99667.25,100332.75
SPEL,2026-03-06,-0.03593105122602569,-0.0023211122068512,True,0.0,SHORT,SHORT,4476.999999999991,4476.999999999991,104144.25,104809.74999999999
SPEL,2026-03-09,-0.09997481742634096,-0.0094601974585452,True,0.0,SHORT,SHORT,12009.249999999996,12009.249999999996,116153.49999999999,116818.99999999999
SPEL,2026-03-10,0.040290990486849365,-0.0091840818152806,False,8711.999999999985,SHORT,BUY,-4355.999999999993,4355.999999999993,111797.5,121174.99999999997
SPEL,2026-03-11,-0.0010758472296933386,-0.0039431279037808,True,0.0,SHORT,SHORT,120.99999999999741,120.99999999999741,111918.5,121295.99999999997
SPEL,2026-03-12,-0.0220786214324179,0.0005459413243321,False,4961.000000000002,BUY,SHORT,-2480.500000000001,2480.500000000001,109438.0,123776.49999999997
SPEL,2026-03-13,0.01156387665198233,-0.0020385333660688,False,2541.0000000000105,SHORT,BUY,-1270.5000000000052,1270.5000000000052,108167.49999999999,125046.99999999997
SPEL,2026-03-16,-0.03783342406096901,-0.0027145219343386,True,0.0,SHORT,SHORT,4204.750000000002,4204.750000000002,112372.24999999999,129251.74999999997
SPEL,2026-03-17,-0.014992927864215022,-0.001083388938366,True,0.0,SHORT,SHORT,1603.2500000000034,1603.2500000000034,113975.5,130854.99999999999
SPEL,2026-03-18,0.012349224583572571,-0.0085758097529891,False,2601.499999999998,SHORT,BUY,-1300.749999999999,1300.749999999999,112674.75,132155.74999999997
SPEL,2026-03-19,-0.062127659574467975,-0.0086785838840208,True,0.0,SHORT,SHORT,6624.749999999993,6624.749999999993,119299.49999999999,138780.49999999997
SPEL,2026-03-24,0.04506957047791871,-0.0027376960237182,False,9014.499999999969,SHORT,BUY,-4507.2499999999845,4507.2499999999845,114792.25,143287.74999999994
SPEL,2026-03-25,0.0691751085383503,-0.0038075813739284,False,14459.500000000004,SHORT,BUY,-7229.750000000002,7229.750000000002,107562.5,150517.49999999994
SPEL,2026-03-26,-0.040335679480238085,-0.0025511496747747,True,0.0,SHORT,SHORT,4507.2499999999845,4507.2499999999845,112069.74999999999,155024.74999999994
SPEL,2026-03-27,0.006205923836389182,-0.0103901891256412,False,1330.9999999999932,SHORT,BUY,-665.4999999999966,665.4999999999966,111404.24999999999,155690.24999999994
SPEL,2026-03-30,-0.04821979254275299,-0.0108031385607757,True,0.0,SHORT,SHORT,5202.999999999996,5202.999999999996,116607.24999999999,160893.24999999994
SPEL,2026-03-31,0.006480117820323983,-0.0062244490424329,False,1330.9999999999932,SHORT,BUY,-665.4999999999966,665.4999999999966,115941.74999999999,161558.74999999994
SPEL,2026-04-01,0.08604038630377508,-0.0023553239495478,False,17786.999999999985,SHORT,BUY,-8893.499999999993,8893.499999999993,107048.25,170452.24999999994
SPEL,2026-04-02,-0.029372136890325917,-0.0055026670656487,True,0.0,SHORT,SHORT,3297.2499999999886,3297.2499999999886,110345.49999999999,173749.49999999994
SPEL,2026-04-03,0.018600777345918695,-0.0066708174717567,False,4053.4999999999673,SHORT,BUY,-2026.7499999999836,2026.7499999999836,108318.75,175776.2499999999
SPEL,2026-04-06,-0.004905968928863413,-0.0054489729890102,True,0.0,SHORT,SHORT,544.4999999999991,544.4999999999991,108863.25,176320.7499999999
SPEL,2026-04-07,0.03725006847439061,-0.0132574162109062,False,8227.999999999996,SHORT,BUY,-4113.999999999998,4113.999999999998,104749.25,180434.7499999999
SPEL,2026-04-08,0.10007921837866385,-0.0135745995842378,False,22929.499999999996,SHORT,BUY,-11464.749999999998,11464.749999999998,93284.5,191899.4999999999
SPEL,2026-04-09,0.009361497839654342,-0.0088365254181989,False,2359.5000000000036,SHORT,BUY,-1179.7500000000018,1179.7500000000018,92104.75,193079.2499999999
