symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_oracle,final_equity_predicted,final_equity_oracle,total_return_predicted,total_return_oracle,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_oracle,days_short_oracle,days_flat_oracle,return_gap_oracle_minus_predicted,total_return_sign_predicted,total_return_sign_oracle,predicted_underperforms_oracle
LOADS,RandomForest,LOADS_predictions_20260311_103706_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,12.06,2026-03-19,8292.0,100001.52,-995.0400000000083,26285.64,99004.95999999999,126285.64,-0.009950400000000083,0.2628564,3,0,22,11,0,14,0.27280680000000007,-1,1,True
LPGL,Prophet,LPGL_predictions_20260311_104014_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,74.37,2026-03-19,1345.0,100027.65000000001,-4734.399999999998,47196.04999999996,95265.6,147196.04999999996,-0.047343999999999976,0.4719604999999996,20,0,5,14,0,11,0.5193044999999996,-1,1,True
LPL,RandomForest,LPL_predictions_20260311_103512_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,18.09,2026-03-19,5528.0,100001.52,-2598.160000000013,51244.56,97401.83999999998,151244.56,-0.02598160000000013,0.5124456,3,0,22,14,0,11,0.5384272000000001,-1,1,True
MCBIM,Prophet,MCBIM_predictions_20260311_151523_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,181.3,2026-03-19,552.0,100077.6,0.0,52793.28000000002,100000.0,152793.28000000003,0.0,0.5279328000000002,0,0,25,12,0,13,0.5279328000000002,0,1,True
MEHT,RandomForest,MEHT_predictions_20260311_105210_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,244.84,2026-03-19,408.0,99894.72,-15344.880000000005,34529.040000000015,84655.12,134529.04,-0.15344880000000005,0.34529040000000016,3,0,22,11,0,14,0.4987392000000002,-1,1,True
MQTM,RandomForest,MQTM_predictions_20260311_105937_20260304_20260511.csv,shares,flat,24,2026-03-04,2026-04-09,26.0,2026-03-19,3846.0,99996.0,-21345.300000000003,37036.979999999996,78654.7,137036.97999999998,-0.21345300000000003,0.37036979999999997,24,0,0,9,0,15,0.5838228,-1,1,True
MTL,Prophet,MTL_predictions_20260311_110453_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,497.72,2026-03-19,201.0,100041.72,-3039.1200000000126,15197.610000000011,96960.87999999999,115197.61000000002,-0.030391200000000125,0.1519761000000001,7,0,18,13,0,12,0.18236730000000023,-1,1,True
MUREB,XGBoost,MUREB_predictions_20260311_110622_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,854.4,2026-03-19,117.0,99964.8,-1224.9900000000002,17423.64000000001,98775.01,117423.64000000001,-0.012249900000000003,0.1742364000000001,18,0,7,9,0,16,0.1864863000000001,-1,1,True
MWMP,RandomForest,MWMP_predictions_20260311_110635_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,54.78,2026-03-19,1825.0,99973.5,-2901.749999999993,55297.50000000002,97098.25,155297.50000000003,-0.029017499999999932,0.5529750000000002,2,0,23,13,0,12,0.5819925000000001,-1,1,True
NATF,Prophet,NATF_predictions_20260311_110916_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,341.29,2026-03-19,293.0,99997.97,0.0,30750.349999999995,100000.0,130750.34999999999,0.0,0.30750349999999993,0,0,25,10,0,15,0.30750349999999993,0,1,True
NBP,RandomForest,NBP_predictions_20260311_111108_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,181.32,2026-03-19,552.0,100088.64,-28643.27999999997,40958.39999999998,71356.72000000003,140958.39999999997,-0.2864327999999997,0.4095839999999998,21,0,4,8,0,17,0.6960167999999995,-1,1,True
