symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_oracle,final_equity_predicted,portfolio,final_equity_oracle,total_return_predicted,total_return_oracle,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_oracle,days_short_oracle,days_flat_oracle,return_gap_oracle_minus_predicted,total_return_sign_predicted,total_return_sign_oracle,predicted_underperforms_oracle
BERG,Prophet,BERG_predictions_20260311_064859_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,86.95,2026-03-19,1150.0,99992.5,0.0,26346.5,100000.0,117349.0,126346.5,0.0,0.26,0,0,25,9,0,16,0.26,0,1,True
BFMOD,Prophet,BFMOD_predictions_20260311_064934_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,17.89,2026-03-19,5590.0,100005.1,-5478.2,87763.0,94521.8,138217.93,187763.0,-0.05,0.88,4,0,21,13,0,12,0.93,-1,1,True
BIFO,Prophet,BIFO_predictions_20260311_065345_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,95.58,2026-03-19,1046.0,99976.68,0.0,25260.9,100000.0,131125.44,125260.9,0.0,0.25,0,0,25,9,0,16,0.25,0,1,True
BIPL,Prophet,BIPL_predictions_20260311_065540_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,24.38,2026-03-19,4102.0,100006.76,9721.74,35359.24,109721.74,105000.0,135359.24,0.1,0.35,25,0,0,15,0,10,0.26,1,1,True
BML,RandomForest,BML_predictions_20260311_143844_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,60.44,2026-03-19,1655.0,100028.2,-10906.45,33861.3,89093.55,102095.9,133861.3,-0.11,0.34,8,0,17,14,0,11,0.45,-1,1,True
BNL,XGBoost,BNL_predictions_20260311_065724_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,8.14,2026-03-19,12285.0,99999.9,-3439.8,39926.25,96560.2,117612.0,139926.25,-0.03,0.4,1,0,24,12,0,13,0.43,-1,1,True
BNWM,Prophet,BNWM_predictions_20260311_065845_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,57.07,2026-03-19,1752.0,99986.64,0.0,52472.4,100000.0,75904.0,152472.4,0.0,0.52,0,0,25,10,0,15,0.52,0,1,True
BOK,Prophet,BOK_predictions_20260311_070006_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,32.61,2026-03-19,3067.0,100014.87,0.0,31866.13,100000.0,115076.0,131866.13,0.0,0.32,0,0,25,13,0,12,0.32,0,1,True
BOP,Prophet,BOP_predictions_20260311_070200_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,25.88,2026-03-19,3864.0,100000.32,-3593.52,46020.24,96406.48,113679.8,146020.24,-0.04,0.46,17,0,8,13,0,12,0.5,-1,1,True
BWCL,RandomForest,BWCL_predictions_20260311_070741_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,434.95,2026-03-19,230.0,100038.5,-305.9,28303.8,99694.1,104995.0,128303.8,-0.0,0.28,22,0,3,13,0,12,0.29,-1,1,True
CHCC,Prophet,CHCC_predictions_20260311_071533_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,248.71,2026-03-19,402.0,99981.42,0.0,52364.52,100000.0,104771.14,152364.52,0.0,0.52,0,0,25,11,0,14,0.52,0,1,True
CNERGY,XGBoost,CNERGY_predictions_20260311_144138_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,6.88,2026-03-19,14535.0,100000.8,28343.25,47529.45,128343.25,125578.41,147529.45,0.28,0.48,13,0,12,13,0,12,0.19,1,1,True
COLG,Prophet,COLG_predictions_20260311_072150_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,1110.54,2026-03-19,90.0,99948.6,0.0,14072.4,100000.0,105958.5,114072.4,0.0,0.14,0,0,25,11,0,14,0.14,0,1,True
CPHL,RandomForest,CPHL_predictions_20260311_072340_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,72.92,2026-03-19,1371.0,99973.32,-9240.54,38127.51,90759.46,101363.32,138127.51,-0.09,0.38,13,0,12,14,0,11,0.47,-1,1,True
DCR,Prophet,DCR_predictions_20260311_073918_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,35.94,2026-03-19,2782.0,99985.08,584.22,15273.18,100584.22,107002.1,115273.18,0.01,0.15,25,0,0,13,0,12,0.15,1,1,True
EFERT,XGBoost,EFERT_predictions_20260311_080119_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,200.98,2026-03-19,498.0,100088.04,-4910.28,26872.08,95089.72,107230.5,126872.08,-0.05,0.27,10,0,15,10,0,15,0.32,-1,1,True
FABL,XGBoost,FABL_predictions_20260311_081147_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,83.48,2026-03-19,1198.0,100009.04,31639.18,47033.48,131639.18,111950.41,147033.48,0.32,0.47,13,0,12,12,0,13,0.15,1,1,True
FATIMA,Prophet,FATIMA_predictions_20260311_081503_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,131.37,2026-03-19,761.0,99972.57,0.0,37897.8,100000.0,104329.0,137897.8,0.0,0.38,0,0,25,10,0,15,0.38,0,1,True
