symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
POWERPS,2026-03-05,0.0,-0.0255422481873377,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,100000.0
POWERPS,2026-03-09,0.0,0.0280216205684343,False,0.0,BUY,HOLD,0.0,0.0,100000.0,100000.0
POWERPS,2026-03-10,0.08037178786221988,0.0266510149657949,True,0.0,BUY,BUY,7664.580000000013,7664.580000000013,107664.58000000002,107664.58000000002
POWERPS,2026-03-11,-0.08198380566801622,-0.0399677036688835,True,0.0,HOLD,HOLD,-0.0,-0.0,107664.58000000002,107664.58000000002
POWERPS,2026-03-12,-0.061742006615215006,-0.0379223119339723,True,0.0,HOLD,HOLD,-0.0,-0.0,107664.58000000002,107664.58000000002
POWERPS,2026-03-13,-0.05522914218566399,-0.0495403106786896,True,0.0,HOLD,HOLD,-0.0,-0.0,107664.58000000002,107664.58000000002
POWERPS,2026-03-16,0.08582089552238825,-0.0340364456418931,False,7195.320000000013,HOLD,BUY,0.0,7195.320000000013,107664.58000000002,114859.90000000002
POWERPS,2026-03-17,0.0,-0.0371852846421638,True,0.0,HOLD,HOLD,0.0,0.0,107664.58000000002,114859.90000000002
POWERPS,2026-03-18,0.002290950744558984,0.0214467894382267,True,0.0,BUY,BUY,208.55999999999557,208.55999999999557,107873.14000000001,115068.46000000002
POWERPS,2026-03-19,0.09600000000000009,0.0212825700773878,True,0.0,BUY,BUY,8759.519999999999,8759.519999999999,116632.66,123827.98000000003
POWERPS,2026-03-24,0.00990615224191882,-0.0505970301532182,False,990.6600000000067,HOLD,BUY,0.0,990.6600000000067,116632.66,124818.64000000003
POWERPS,2026-03-25,-0.08828084667010849,-0.0335248788262099,True,0.0,HOLD,HOLD,-0.0,-0.0,116632.66,124818.64000000003
POWERPS,2026-03-26,0.10022650056625149,-0.0350946720991901,False,9228.779999999997,HOLD,BUY,0.0,9228.779999999997,116632.66,134047.42000000004
POWERPS,2026-03-27,0.09984559958826567,0.0250931338311193,True,0.0,BUY,BUY,10115.160000000007,10115.160000000007,126747.82,144162.58000000002
POWERPS,2026-03-30,-0.09592887225081892,0.0264276337869644,False,10688.700000000004,BUY,HOLD,-10688.700000000004,-0.0,116059.12000000001,144162.58000000002
POWERPS,2026-03-31,-0.09161490683229812,-0.0374413589546197,True,0.0,HOLD,HOLD,-0.0,-0.0,116059.12000000001,144162.58000000002
POWERPS,2026-04-01,0.10028490028490022,-0.0326593698980338,False,9176.63999999999,HOLD,BUY,0.0,9176.63999999999,116059.12000000001,153339.22000000003
POWERPS,2026-04-02,0.09994821336095283,-0.0416116977829774,False,10063.019999999999,HOLD,BUY,0.0,10063.019999999999,116059.12000000001,163402.24000000002
POWERPS,2026-04-03,0.0,-0.0235694969313274,True,0.0,HOLD,HOLD,0.0,0.0,116059.12000000001,163402.24000000002
POWERPS,2026-04-06,-0.03625235404896421,-0.0243609467696352,True,0.0,HOLD,HOLD,-0.0,-0.0,116059.12000000001,163402.24000000002
POWERPS,2026-04-07,0.0,0.0363980953853779,False,0.0,BUY,HOLD,0.0,0.0,116059.12000000001,163402.24000000002
POWERPS,2026-04-08,-0.10014655593551525,0.0380863232920833,False,10688.699999999984,BUY,HOLD,-10688.699999999984,-0.0,105370.42000000003,163402.24000000002
POWERPS,2026-04-09,0.09989142236699244,-0.0256515948945195,False,9593.759999999998,HOLD,BUY,0.0,9593.759999999998,105370.42000000003,172996.0
