symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
SBL,2026-03-04,-0.04621848739495804,-0.011614005883817,True,0.0,SHORT,SHORT,5013.800000000007,5013.800000000007,105013.8,105013.8
SBL,2026-03-05,0.05110132158590308,0.002338493664102,True,0.0,BUY,BUY,5287.280000000001,5287.280000000001,110301.08,110301.08
SBL,2026-03-06,-0.02011735121542335,0.002557043838615,False,4375.680000000004,BUY,SHORT,-2187.840000000002,2187.840000000002,108113.24,112488.92000000001
SBL,2026-03-09,-0.10008554319931562,0.0051271202160661,False,21331.44,BUY,SHORT,-10665.72,10665.72,97447.52,123154.64000000001
SBL,2026-03-10,0.05418250950570336,0.000397957406857,True,0.0,BUY,BUY,5196.120000000003,5196.120000000003,102643.64000000001,128350.76000000001
SBL,2026-03-11,-0.018935978358881833,0.0036666628306229,False,3828.719999999983,BUY,SHORT,-1914.3599999999915,1914.3599999999915,100729.28000000001,130265.12
SBL,2026-03-12,0.008272058823529438,-0.0036964130105824,False,1640.8799999999974,SHORT,BUY,-820.4399999999987,820.4399999999987,99908.84000000003,131085.56
SBL,2026-03-13,-0.007292616226071136,0.0059288052936057,False,1458.5600000000013,BUY,SHORT,-729.2800000000007,729.2800000000007,99179.56000000001,131814.84
SBL,2026-03-16,-0.0045913682277319845,-0.0017105666020366,True,0.0,SHORT,SHORT,455.8000000000065,455.8000000000065,99635.36000000003,132270.64
SBL,2026-03-17,0.03321033210332103,0.004954290868521,True,0.0,BUY,BUY,3281.7599999999948,3281.7599999999948,102917.12000000002,135552.40000000002
SBL,2026-03-18,0.0071428571428571175,0.0013328045445674,True,0.0,BUY,BUY,729.2800000000007,729.2800000000007,103646.40000000002,136281.68
SBL,2026-03-19,-0.027482269503546042,0.0041667788510572,False,5651.919999999976,BUY,SHORT,-2825.959999999988,2825.959999999988,100820.44000000003,139107.64
SBL,2026-03-24,0.03008204193254338,0.0034122717932701,True,0.0,BUY,BUY,3008.2800000000007,3008.2800000000007,103828.72000000003,142115.91999999998
SBL,2026-03-25,-0.02743362831858409,-0.0004353548799629,True,0.0,SHORT,SHORT,2825.9600000000046,2825.9600000000046,106654.68000000004,144941.88
SBL,2026-03-26,-0.072793448589627,0.0032050780561442,False,14585.600000000013,BUY,SHORT,-7292.800000000007,7292.800000000007,99361.88000000003,152234.68
SBL,2026-03-27,-0.003925417075564153,0.0022667327280621,False,729.2799999999845,BUY,SHORT,-364.63999999999226,364.63999999999226,98997.24000000003,152599.32
SBL,2026-03-30,-0.07487684729064037,0.0015734962492307,False,13856.319999999996,BUY,SHORT,-6928.159999999998,6928.159999999998,92069.08000000005,159527.47999999998
SBL,2026-03-31,0.04366347177848784,0.0036205635345771,True,0.0,BUY,BUY,3737.5600000000013,3737.5600000000013,95806.64000000004,163265.03999999998
SBL,2026-04-01,-0.08469387755102042,-4.131818739068829e-05,True,0.0,SHORT,SHORT,7566.280000000001,7566.280000000001,103372.92000000004,170831.32
SBL,2026-04-02,-0.010033444816053505,0.0033983385532377,False,1640.8799999999974,BUY,SHORT,-820.4399999999987,820.4399999999987,102552.48000000004,171651.76
SBL,2026-04-03,0.014639639639639546,0.0005322848440652,True,0.0,BUY,BUY,1185.0799999999908,1185.0799999999908,103737.56000000003,172836.83999999997
SBL,2026-04-06,-0.02219755826859038,0.0027494665472196,False,3646.399999999987,BUY,SHORT,-1823.1999999999935,1823.1999999999935,101914.36000000004,174660.03999999998
SBL,2026-04-07,0.018161180476730987,0.0020462965011185,True,0.0,BUY,BUY,1458.5600000000013,1458.5600000000013,103372.92000000004,176118.59999999998
SBL,2026-04-08,0.10590858416945359,0.0009917097455755,True,0.0,BUY,BUY,8660.199999999993,8660.199999999993,112033.12000000004,184778.8
SBL,2026-04-09,-0.011088709677419262,0.0028100516975656,False,2005.5199999999895,BUY,SHORT,-1002.7599999999948,1002.7599999999948,111030.36000000004,185781.55999999997
