symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_oracle,final_equity_predicted,portfolio,final_equity_oracle,total_return_predicted,total_return_oracle,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_oracle,days_short_oracle,days_flat_oracle,return_gap_oracle_minus_predicted,total_return_sign_predicted,total_return_sign_oracle,predicted_underperforms_oracle
ATRL,RandomForest,ATRL_predictions_20260311_063459_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,812.54,2026-03-19,123.0,99942.42,-18197.85,64972.29,81802.15,99691.23,164972.29,-0.18,0.65,9,16,0,13,12,0,0.83,-1,1,True
AVN,Prophet,AVN_predictions_20260311_063653_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,32.12,2026-03-19,3113.0,99989.56,6039.22,83054.84,106039.22,104589.9,183054.84,0.06,0.83,25,0,0,11,14,0,0.77,1,1,True
BAFL,Prophet,BAFL_predictions_20260311_063847_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,108.97,2026-03-19,918.0,100034.46,-10465.2,65765.52,89534.8,102250.35,165765.52,-0.1,0.66,2,23,0,12,13,0,0.76,-1,1,True
BAHL,Prophet,BAHL_predictions_20260311_064038_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,151.31,2026-03-19,661.0,100015.91,10926.33,65075.45,110926.33,95297.02,165075.45,0.11,0.65,25,0,0,11,14,0,0.54,1,1,True
BAPL,Prophet,BAPL_predictions_20260311_064159_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,38.69,2026-03-19,2585.0,100013.65,13803.9,69433.1,113803.9,102564.0,169433.1,0.14,0.69,25,0,0,11,13,1,0.56,1,1,True
BATA,Prophet,BATA_predictions_20260311_064325_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,1019.63,2026-03-19,98.0,99923.74,-7874.3,40902.26,92125.7,99192.0,140902.26,-0.08,0.41,0,25,0,14,11,0,0.49,-1,1,True
BBFL,Prophet,BBFL_predictions_20260311_143816_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,36.15,2026-03-19,2766.0,99990.9,-13995.96,66605.28,86004.04,93590.0,166605.28,-0.14,0.67,21,4,0,13,12,0,0.81,-1,1,True
BCL,RandomForest,BCL_predictions_20260311_064512_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,57.92,2026-03-19,1727.0,100027.84,4887.41,60255.03,104887.41,98764.12,160255.03,0.05,0.6,1,24,0,12,13,0,0.55,1,1,True
BECO,RandomForest,BECO_predictions_20260311_064643_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,4.55,2026-03-19,21978.0,99999.9,-1318.68,89230.68,98681.32,105193.0,189230.68,-0.01,0.89,17,8,0,9,14,2,0.91,-1,1,True
BELA,Prophet,BELA_predictions_20260311_064703_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,72.78,2026-03-19,1374.0,99999.72,-35778.96,138169.44,64221.04,99367.73,238169.44,-0.36,1.38,13,12,0,12,10,3,1.74,-1,1,True
BERG,Prophet,BERG_predictions_20260311_064859_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,86.95,2026-03-19,1150.0,99992.5,-2070.0,50623.0,97930.0,117349.0,150623.0,-0.02,0.51,0,25,0,9,16,0,0.53,-1,1,True
BFMOD,Prophet,BFMOD_predictions_20260311_064934_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,17.89,2026-03-19,5590.0,100005.1,-29738.8,156743.6,70261.2,138217.93,256743.6,-0.3,1.57,4,21,0,13,12,0,1.86,-1,1,True
BIFO,Prophet,BIFO_predictions_20260311_065345_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,95.58,2026-03-19,1046.0,99976.68,33890.4,84412.2,133890.4,131125.44,184412.2,0.34,0.84,0,25,0,9,16,0,0.51,1,1,True
BIPL,Prophet,BIPL_predictions_20260311_065540_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,24.38,2026-03-19,4102.0,100006.76,9721.74,60996.74,109721.74,105000.0,160996.74,0.1,0.61,25,0,0,15,10,0,0.51,1,1,True
BML,RandomForest,BML_predictions_20260311_143844_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,60.44,2026-03-19,1655.0,100028.2,-20008.95,69526.55,79991.05,102095.9,169526.55,-0.2,0.7,8,17,0,14,11,0,0.9,-1,1,True
BNL,XGBoost,BNL_predictions_20260311_065724_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,8.14,2026-03-19,12285.0,99999.9,-3562.65,83169.45,96437.35,117612.0,183169.45,-0.04,0.83,1,24,0,12,13,0,0.87,-1,1,True
BNWM,Prophet,BNWM_predictions_20260311_065845_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,57.07,2026-03-19,1752.0,99986.64,-21829.92,83114.88,78170.08,75904.0,183114.88,-0.22,0.83,0,25,0,10,9,6,1.05,-1,1,True
BOK,Prophet,BOK_predictions_20260311_070006_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,32.61,2026-03-19,3067.0,100014.87,-3557.72,60174.54,96442.28,115076.0,160174.54,-0.04,0.6,0,25,0,13,11,1,0.64,-1,1,True
BOP,Prophet,BOP_predictions_20260311_070200_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,25.88,2026-03-19,3864.0,100000.32,-4945.92,94281.6,95054.08,113679.8,194281.6,-0.05,0.94,17,8,0,13,12,0,0.99,-1,1,True
BWCL,RandomForest,BWCL_predictions_20260311_070741_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,434.95,2026-03-19,230.0,100038.5,-4588.5,52630.9,95411.5,104995.0,152630.9,-0.05,0.53,22,3,0,13,12,0,0.57,-1,1,True
CHCC,Prophet,CHCC_predictions_20260311_071533_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,248.71,2026-03-19,402.0,99981.42,-10552.5,94176.54,89447.5,104771.14,194176.54,-0.11,0.94,0,25,0,11,14,0,1.05,-1,1,True
CNERGY,XGBoost,CNERGY_predictions_20260311_144138_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,6.88,2026-03-19,14535.0,100000.8,39535.2,77907.6,139535.2,125578.41,177907.6,0.4,0.78,13,12,0,13,12,0,0.38,1,1,True
COLG,Prophet,COLG_predictions_20260311_072150_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,1110.54,2026-03-19,90.0,99948.6,135.0,28279.8,100135.0,105958.5,128279.8,0.0,0.28,0,25,0,11,14,0,0.28,1,1,True
CPHL,RandomForest,CPHL_predictions_20260311_072340_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,72.92,2026-03-19,1371.0,99973.32,-22470.69,72265.41,77529.31,101363.32,172265.41,-0.22,0.72,13,12,0,14,11,0,0.95,-1,1,True
DCR,Prophet,DCR_predictions_20260311_073918_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,35.94,2026-03-19,2782.0,99985.08,584.22,29962.14,100584.22,107002.1,129962.14,0.01,0.3,25,0,0,13,11,1,0.29,1,1,True
EFERT,XGBoost,EFERT_predictions_20260311_080119_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,200.98,2026-03-19,498.0,100088.04,-12793.62,50771.1,87206.38,107230.5,150771.1,-0.13,0.51,10,15,0,10,15,0,0.64,-1,1,True
FABL,XGBoost,FABL_predictions_20260311_081147_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,83.48,2026-03-19,1198.0,100009.04,55191.86,85980.46,155191.86,111950.41,185980.46,0.55,0.86,13,12,0,12,13,0,0.31,1,1,True
