symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_actual,final_equity_predicted,final_equity_actual,total_return_predicted,total_return_actual,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_actual,days_short_actual,days_flat_actual,return_gap_actual_minus_predicted,total_return_sign_predicted,total_return_sign_actual,predicted_underperforms_actual
AATM,Prophet,AATM_predictions_20260311_054013_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,34.71,2026-03-19,2881.0,99999.51000000001,-15845.499999999982,60616.240000000005,84154.50000000001,160616.24,-0.15845499999999982,0.6061624000000001,8,17,0,9,6,10,0.7646173999999999,-1,1,True
ABOT,Prophet,ABOT_predictions_20260311_054420_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,930.64,2026-03-19,107.0,99578.48,-3579.1499999999933,60860.529999999955,96420.85,160860.52999999997,-0.035791499999999934,0.6086052999999996,25,0,0,10,15,0,0.6443967999999995,-1,1,True
ACIETF,Prophet,ACIETF_predictions_20260311_143055_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,15.12,2026-03-19,6614.0,100003.68,-2513.3199999999943,73812.23999999999,97486.68000000001,173812.24,-0.025133199999999942,0.7381224,0,25,0,9,15,1,0.7632555999999999,-1,1,True
ADAMS,Prophet,ADAMS_predictions_20260311_054736_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,77.78,2026-03-19,1286.0,100025.08,-9619.280000000004,22016.31999999999,90380.72,122016.31999999999,-0.09619280000000004,0.2201631999999999,0,25,0,5,4,16,0.3163559999999999,-1,1,True
ADMM,Prophet,ADMM_predictions_20260311_054915_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,47.9,2026-03-19,2088.0,100015.2,-5846.400000000007,62681.75999999998,94153.59999999999,162681.75999999998,-0.05846400000000007,0.6268175999999998,0,25,0,12,13,0,0.6852815999999998,-1,1,True
AGIL,Prophet,AGIL_predictions_20260311_055420_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,131.36,2026-03-19,761.0,99964.96,-3257.0799999999963,70148.97999999997,96742.92,170148.97999999998,-0.03257079999999996,0.7014897999999997,25,0,0,13,12,0,0.7340605999999997,-1,1,True
AGL,XGBoost,AGL_predictions_20260311_055614_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,50.51,2026-03-19,1980.0,100009.8,-40332.599999999984,77160.59999999996,59667.400000000016,177160.59999999998,-0.40332599999999985,0.7716059999999996,10,15,0,12,13,0,1.1749319999999994,-1,1,True
AGSML,RandomForest,AGSML_predictions_20260311_143250_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,7.54,2026-03-19,13263.0,100003.02,-61142.429999999964,112072.34999999999,38857.570000000036,212072.34999999998,-0.6114242999999996,1.1207235,11,14,0,13,12,0,1.7321477999999995,-1,1,True
AHCL,Prophet,AHCL_predictions_20260311_060154_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,13.25,2026-03-19,7547.0,99997.75,-2943.3300000000045,92903.57000000002,97056.67,192903.57,-0.029433300000000044,0.9290357000000002,0,25,0,13,11,1,0.9584690000000002,-1,1,True
AICL,Prophet,AICL_predictions_20260311_060543_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,67.64,2026-03-19,1478.0,99971.92,-20529.419999999976,112549.69999999994,79470.58000000002,212549.69999999995,-0.20529419999999976,1.1254969999999993,0,25,0,10,14,1,1.330791199999999,-1,1,True
AIRLINK,XGBoost,AIRLINK_predictions_20260311_143419_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,136.86,2026-03-19,731.0,100044.66,-19225.299999999967,78100.04000000007,80774.70000000004,178100.04000000007,-0.19225299999999967,0.7810004000000007,12,13,0,11,14,0,0.9732534000000004,-1,1,True
AKDSL,Prophet,AKDSL_predictions_20260311_060949_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,29.73,2026-03-19,3364.0,100011.72,-3464.9199999999964,115822.51999999997,96535.08,215822.51999999996,-0.03464919999999996,1.1582251999999997,25,0,0,12,13,0,1.1928743999999998,-1,1,True
AKGL,Prophet,AKGL_predictions_20260311_060954_20260304_20260511.csv,shares,short,7,2026-03-25,2026-04-09,61.08,2026-04-09,1637.0,99987.95999999999,-9052.610000000002,9052.610000000002,90947.39,109052.61,-0.09052610000000003,0.09052610000000003,0,7,0,1,0,6,0.18105220000000005,-1,1,True
ALIFE,XGBoost,ALIFE_predictions_20260311_061054_20260304_20260511.csv,shares,short,24,2026-03-04,2026-04-09,33.38,2026-03-19,2996.0,100006.48000000001,-6980.679999999973,61088.43999999997,93019.32000000002,161088.43999999997,-0.06980679999999972,0.6108843999999998,12,12,0,5,6,13,0.6806911999999995,-1,1,True
ALNRS,XGBoost,ALNRS_predictions_20260311_061152_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,120.39,2026-03-19,831.0,100044.09,-5085.720000000027,37760.64,94914.27999999997,137760.64,-0.05085720000000027,0.3776064,6,19,0,5,8,12,0.4284636000000003,-1,1,True
AMBL,RandomForest,AMBL_predictions_20260311_143559_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,23.87,2026-03-19,4189.0,99991.43000000001,-2806.630000000019,87927.11,97193.36999999998,187927.11,-0.028066300000000193,0.8792711,11,14,0,13,11,1,0.9073374000000002,-1,1,True
AMTEX,XGBoost,AMTEX_predictions_20260311_061352_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,3.82,2026-03-19,26178.0,99999.95999999999,-8900.519999999984,100523.52000000002,91099.48000000001,200523.52000000002,-0.08900519999999984,1.0052352000000002,4,21,0,13,11,1,1.0942404000000001,-1,1,True
ANTM,Prophet,ANTM_predictions_20260311_143623_20260304_20260511.csv,shares,short,21,2026-03-04,2026-04-09,24.2,2026-04-09,4132.0,99994.4,-9379.639999999996,34254.280000000006,90620.36,134254.28,-0.09379639999999996,0.34254280000000004,21,0,0,2,4,15,0.4363392,-1,1,True
APL,Prophet,APL_predictions_20260311_061738_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,519.3,2026-03-19,193.0,100224.9,-3298.3700000000053,58446.18999999999,96701.62999999999,158446.19,-0.03298370000000005,0.5844618999999999,0,25,0,9,16,0,0.6174455999999999,-1,1,True
ARPL,RandomForest,ARPL_predictions_20260311_061925_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,338.68,2026-03-19,295.0,99910.6,-29001.45000000002,66655.25000000003,70998.54999999999,166655.25000000003,-0.2900145000000002,0.6665525000000003,9,16,0,11,14,0,0.9565670000000005,-1,1,True
ARUJ,Prophet,ARUJ_predictions_20260311_062014_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,8.25,2026-03-19,12121.0,99998.25,-21332.96,93816.54000000001,78667.04000000001,193816.54,-0.21332959999999998,0.9381654,25,0,0,9,11,5,1.151495,-1,1,True
ASC,RandomForest,ASC_predictions_20260311_062206_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,9.77,2026-03-19,10235.0,99995.95,-15864.250000000004,66425.14999999995,84135.75,166425.14999999997,-0.15864250000000005,0.6642514999999996,5,20,0,13,12,0,0.8228939999999996,-1,1,True
