symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_actual,final_equity_predicted,final_equity_actual,total_return_predicted,total_return_actual,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_actual,days_short_actual,days_flat_actual,return_gap_actual_minus_predicted,total_return_sign_predicted,total_return_sign_actual,predicted_underperforms_actual
786,RandomForest,786_predictions_20260311_053835_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,38.79,2026-03-19,2578.0,100000.62,29440.759999999987,267287.04,129440.75999999998,367287.04,0.2944075999999999,2.6728704,24,1,0,16,9,0,2.3784628,1,1,True
AABS,XGBoost,AABS_predictions_20260311_054000_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,860.0,2026-03-19,116.0,99760.0,1231.9199999999878,69669.6,101231.91999999998,169669.6,0.012319199999999877,0.6966960000000001,18,7,0,15,10,0,0.6843768000000002,1,1,True
ABL,Prophet,ABL_predictions_20260311_054224_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,170.03,2026-03-19,588.0,99977.64,5950.559999999986,37479.119999999915,105950.55999999998,137479.1199999999,0.05950559999999986,0.37479119999999916,25,0,0,11,13,1,0.3152855999999993,1,1,True
ACPL,RandomForest,ACPL_predictions_20260311_054616_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,267.02,2026-03-19,375.0,100132.5,450.0000000000184,30284.999999999996,100450.00000000001,130285.0,0.004500000000000184,0.30284999999999995,13,12,0,13,12,0,0.2983499999999998,1,1,True
AGHA,Prophet,AGHA_predictions_20260311_055121_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,6.39,2026-03-19,15649.0,99997.11,2190.860000000008,77619.04000000001,102190.86000000002,177619.04,0.02190860000000008,0.7761904000000001,17,8,0,14,11,0,0.7542818,1,1,True
AGIC,RandomForest,AGIC_predictions_20260311_055248_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,34.53,2026-03-19,2896.0,99998.88,19866.55999999996,51722.560000000005,119866.55999999997,151722.56,0.1986655999999996,0.5172256000000001,19,6,0,15,10,0,0.31856000000000045,1,1,True
AGP,XGBoost,AGP_predictions_20260311_055805_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,191.67,2026-03-19,522.0,100051.73999999999,22174.55999999999,86620.68000000001,122174.56,186620.68,0.2217455999999999,0.8662068,19,6,0,11,14,0,0.6444612000000002,1,1,True
AGTL,RandomForest,AGTL_predictions_20260311_060015_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,320.16,2026-03-19,312.0,99889.92000000001,3719.039999999989,41957.75999999993,103719.04,141957.75999999992,0.03719039999999989,0.4195775999999993,23,2,0,10,15,0,0.38238719999999937,1,1,True
AHL,RandomForest,AHL_predictions_20260311_060353_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,85.3,2026-03-19,1172.0,99971.59999999999,8778.280000000028,80035.87999999999,108778.28000000003,180035.88,0.08778280000000029,0.8003587999999999,10,15,0,14,11,0,0.7125759999999997,1,1,True
AKBL,XGBoost,AKBL_predictions_20260311_060738_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,82.64,2026-03-19,1210.0,99994.4,42507.30000000002,86890.09999999999,142507.30000000002,186890.09999999998,0.4250730000000002,0.8689009999999999,20,5,0,10,15,0,0.4438279999999997,1,1,True
