symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_actual,final_equity_predicted,final_equity_actual,total_return_predicted,total_return_actual,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_actual,days_short_actual,days_flat_actual,return_gap_actual_minus_predicted,total_return_sign_predicted,total_return_sign_actual,predicted_underperforms_actual
786,RandomForest,786_predictions_20260311_053835_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,38.79,2026-03-19,2578.0,100000.62,29440.759999999987,267287.04,129440.75999999998,367287.04,0.2944075999999999,2.6728704,24,1,0,16,9,0,2.3784628,1,1,True
AABS,XGBoost,AABS_predictions_20260311_054000_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,860.0,2026-03-19,116.0,99760.0,1231.9199999999878,69669.6,101231.91999999998,169669.6,0.012319199999999877,0.6966960000000001,18,7,0,15,10,0,0.6843768000000002,1,1,True
AATM,Prophet,AATM_predictions_20260311_054013_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,34.71,2026-03-19,2881.0,99999.51000000001,-15845.499999999982,60616.240000000005,84154.50000000001,160616.24,-0.15845499999999982,0.6061624000000001,8,17,0,9,6,10,0.7646173999999999,-1,1,True
ABL,Prophet,ABL_predictions_20260311_054224_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,170.03,2026-03-19,588.0,99977.64,5950.559999999986,37479.119999999915,105950.55999999998,137479.1199999999,0.05950559999999986,0.37479119999999916,25,0,0,11,13,1,0.3152855999999993,1,1,True
ABOT,Prophet,ABOT_predictions_20260311_054420_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,930.64,2026-03-19,107.0,99578.48,-3579.1499999999933,60860.529999999955,96420.85,160860.52999999997,-0.035791499999999934,0.6086052999999996,25,0,0,10,15,0,0.6443967999999995,-1,1,True
ACIETF,Prophet,ACIETF_predictions_20260311_143055_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,15.12,2026-03-19,6614.0,100003.68,-2513.3199999999943,73812.23999999999,97486.68000000001,173812.24,-0.025133199999999942,0.7381224,0,25,0,9,15,1,0.7632555999999999,-1,1,True
ACPL,RandomForest,ACPL_predictions_20260311_054616_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,267.02,2026-03-19,375.0,100132.5,450.0000000000184,30284.999999999996,100450.00000000001,130285.0,0.004500000000000184,0.30284999999999995,13,12,0,13,12,0,0.2983499999999998,1,1,True
ADAMS,Prophet,ADAMS_predictions_20260311_054736_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,77.78,2026-03-19,1286.0,100025.08,-9619.280000000004,22016.31999999999,90380.72,122016.31999999999,-0.09619280000000004,0.2201631999999999,0,25,0,5,4,16,0.3163559999999999,-1,1,True
ADMM,Prophet,ADMM_predictions_20260311_054915_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,47.9,2026-03-19,2088.0,100015.2,-5846.400000000007,62681.75999999998,94153.59999999999,162681.75999999998,-0.05846400000000007,0.6268175999999998,0,25,0,12,13,0,0.6852815999999998,-1,1,True
AGHA,Prophet,AGHA_predictions_20260311_055121_20260304_20260511.csv,shares,short,25,2026-03-04,2026-04-09,6.39,2026-03-19,15649.0,99997.11,2190.860000000008,77619.04000000001,102190.86000000002,177619.04,0.02190860000000008,0.7761904000000001,17,8,0,14,11,0,0.7542818,1,1,True
